Epoch: 1090, Timestep: 1090000, Reward: 5529.08, Noise_std: 0.5000, Time: 02:26:40
Epoch: 1100, Timestep: 1100000, Reward: 5756.89, Noise_std: 0.5000, Time: 02:27:59
Epoch: 1110, Timestep: 1110000, Reward: 5487.39, Noise_std: 0.5000, Time: 02:29:19
Epoch: 1120, Timestep: 1120000, Reward: 5541.07, Noise_std: 0.5000, Time: 02:30:39
Epoch: 1130, Timestep: 1130000, Reward: 5498.61, Noise_std: 0.5000, Time: 02:31:58
Epoch: 1140, Timestep: 1140000, Reward: 5408.10, Noise_std: 0.5000, Time: 02:33:16
Epoch: 1150, Timestep: 1150000, Reward: 5434.96, Noise_std: 0.5000, Time: 02:34:36
Epoch: 1160, Timestep: 1160000, Reward: 5667.79, Noise_std: 0.5000, Time: 02:35:55
Epoch: 1170, Timestep: 1170000, Reward: 5643.24, Noise_std: 0.5000, Time: 02:37:14
Epoch: 1180, Timestep: 1180000, Reward: 5450.55, Noise_std: 0.5000, Time: 02:38:33
Epoch: 1190, Timestep: 1190000, Reward: 5161.15, Noise_std: 0.5000, Time: 02:39:52
Epoch: 1200, Timestep: 1200000, Reward: 5520.23, Noise_std: 0.5000, Time: 02:41:12
Epoch: 1210, Timestep: 1210000, Reward: 5656.48, Noise_std: 0.5000, Time: 02:42:32
Epoch: 1220, Timestep: 1220000, Reward: 5913.14, Noise_std: 0.5000, Time: 02:43:51
Epoch: 1230, Timestep: 1230000, Reward: 5637.78, Noise_std: 0.5000, Time: 02:45:10
Epoch: 1240, Timestep: 1240000, Reward: 5998.19, Noise_std: 0.5000, Time: 02:46:29
Epoch: 1250, Timestep: 1250000, Reward: 5547.51, Noise_std: 0.5000, Time: 02:47:48
Epoch: 1260, Timestep: 1260000, Reward: 5923.55, Noise_std: 0.5000, Time: 02:49:07
Epoch: 1270, Timestep: 1270000, Reward: 5909.07, Noise_std: 0.5000, Time: 02:50:26
Epoch: 1280, Timestep: 1280000, Reward: 5773.19, Noise_std: 0.5000, Time: 02:51:45
Epoch: 1290, Timestep: 1290000, Reward: 5570.97, Noise_std: 0.5000, Time: 02:53:03
Epoch: 1300, Timestep: 1300000, Reward: 5592.43, Noise_std: 0.5000, Time: 02:54:22
Epoch: 1310, Timestep: 1310000, Reward: 5802.32, Noise_std: 0.5000, Time: 02:55:42
Epoch: 1320, Timestep: 1320000, Reward: 5358.23, Noise_std: 0.5000, Time: 02:57:01
Epoch: 1330, Timestep: 1330000, Reward: 5954.94, Noise_std: 0.5000, Time: 02:58:20
Epoch: 1340, Timestep: 1340000, Reward: 5915.15, Noise_std: 0.5000, Time: 02:59:40
Epoch: 1350, Timestep: 1350000, Reward: 6136.33, Noise_std: 0.5000, Time: 03:00:59
Epoch: 1360, Timestep: 1360000, Reward: 5645.07, Noise_std: 0.5000, Time: 03:02:19
Epoch: 1370, Timestep: 1370000, Reward: 5796.86, Noise_std: 0.5000, Time: 03:03:38
Epoch: 1380, Timestep: 1380000, Reward: 5885.58, Noise_std: 0.5000, Time: 03:04:58
Epoch: 1390, Timestep: 1390000, Reward: 5577.13, Noise_std: 0.5000, Time: 03:06:17
Epoch: 1400, Timestep: 1400000, Reward: 5708.12, Noise_std: 0.5000, Time: 03:07:37
Epoch: 1410, Timestep: 1410000, Reward: 5855.67, Noise_std: 0.5000, Time: 03:08:56
Epoch: 1420, Timestep: 1420000, Reward: 5917.74, Noise_std: 0.5000, Time: 03:10:15
Epoch: 1430, Timestep: 1430000, Reward: 5858.85, Noise_std: 0.5000, Time: 03:11:34
Epoch: 1440, Timestep: 1440000, Reward: 5633.43, Noise_std: 0.5000, Time: 03:12:53
Epoch: 1450, Timestep: 1450000, Reward: 5762.54, Noise_std: 0.5000, Time: 03:14:12
Epoch: 1460, Timestep: 1460000, Reward: 5832.89, Noise_std: 0.5000, Time: 03:15:31
Epoch: 1470, Timestep: 1470000, Reward: 5828.80, Noise_std: 0.5000, Time: 03:16:50
Epoch: 1480, Timestep: 1480000, Reward: 6070.22, Noise_std: 0.5000, Time: 03:18:09
