SquashedGaussianMLPActor(
  (net): Sequential(
    (0): Linear(in_features=23, out_features=256, bias=True)
    (1): ReLU()
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): ReLU()
    (4): Linear(in_features=256, out_features=256, bias=True)
    (5): ReLU()
    (6): Linear(in_features=256, out_features=256, bias=True)
    (7): ReLU()
  )
  (mu_layer): Linear(in_features=256, out_features=6, bias=True)
  (log_std_layer): Linear(in_features=256, out_features=6, bias=True)
)Epoch: 1, Timestep: 1000, Reward: -2.29, Noise_std: 0.1004, Time: 00:00:00
Epoch: 52, Timestep: 52000, Reward: 5101.80, Noise_std: 0.1208, Time: 00:06:12
Epoch: 53, Timestep: 53000, Reward: 5330.69, Noise_std: 0.1212, Time: 00:06:19
Epoch: 54, Timestep: 54000, Reward: 5329.25, Noise_std: 0.1216, Time: 00:06:27
Epoch: 55, Timestep: 55000, Reward: 4965.03, Noise_std: 0.1220, Time: 00:06:34
Epoch: 56, Timestep: 56000, Reward: 5289.39, Noise_std: 0.1224, Time: 00:06:41
Epoch: 57, Timestep: 57000, Reward: 5317.59, Noise_std: 0.1228, Time: 00:06:49
Epoch: 58, Timestep: 58000, Reward: 5600.12, Noise_std: 0.1232, Time: 00:06:56
Epoch: 59, Timestep: 59000, Reward: 5521.13, Noise_std: 0.1236, Time: 00:07:04
Epoch: 60, Timestep: 60000, Reward: 5705.87, Noise_std: 0.1240, Time: 00:07:11
Epoch: 61, Timestep: 61000, Reward: 5832.19, Noise_std: 0.1244, Time: 00:07:19
Epoch: 62, Timestep: 62000, Reward: 5699.23, Noise_std: 0.1248, Time: 00:07:26
Epoch: 63, Timestep: 63000, Reward: 5990.68, Noise_std: 0.1252, Time: 00:07:33
Epoch: 64, Timestep: 64000, Reward: 6109.78, Noise_std: 0.1256, Time: 00:07:41
Epoch: 65, Timestep: 65000, Reward: 5617.71, Noise_std: 0.1260, Time: 00:07:48
Epoch: 66, Timestep: 66000, Reward: 5892.72, Noise_std: 0.1264, Time: 00:07:56
Epoch: 67, Timestep: 67000, Reward: 5831.19, Noise_std: 0.1268, Time: 00:08:03
Epoch: 68, Timestep: 68000, Reward: 6094.56, Noise_std: 0.1272, Time: 00:08:10
Epoch: 69, Timestep: 69000, Reward: 5850.19, Noise_std: 0.1276, Time: 00:08:18
Epoch: 70, Timestep: 70000, Reward: 6175.42, Noise_std: 0.1280, Time: 00:08:25
Epoch: 71, Timestep: 71000, Reward: 5655.82, Noise_std: 0.1284, Time: 00:08:33
Epoch: 72, Timestep: 72000, Reward: 6147.40, Noise_std: 0.1288, Time: 00:08:40
Epoch: 73, Timestep: 73000, Reward: 6052.10, Noise_std: 0.1292, Time: 00:08:47
Epoch: 74, Timestep: 74000, Reward: 6192.01, Noise_std: 0.1296, Time: 00:08:55
Epoch: 75, Timestep: 75000, Reward: 6104.34, Noise_std: 0.1300, Time: 00:09:02
Epoch: 76, Timestep: 76000, Reward: 6192.53, Noise_std: 0.1304, Time: 00:09:10
Epoch: 77, Timestep: 77000, Reward: 6169.16, Noise_std: 0.1308, Time: 00:09:17
